context_length,method,ttft_ms,tpot_ms,throughput,kv_mb,total_gflops,avg_gflops_per_tok,num_gen,ttft_std,tput_std,speedup,kv_reduction_%,flops_reduction_%
128,Baseline,4.814099999748578,4.384761279462733,227.99974632617202,5.3203125,9.0273792,0.03959376842105263,100,0.2669792692409797,7.3409327117612735,1.0,0.0,0.0
128,CLE-Light  (-20%KV),5.389833332931933,4.31274478114727,231.2937949356594,4.7109375,8.9954304,0.039453642105263156,100,0.6821830423225045,0.4336603734491125,1.0144,11.45,0.35
128,CLE-Medium (-50%KV),5.062100000031933,4.289399663296594,232.76113491672947,3.8203125,8.948736,0.03924884210526316,100,0.34798660872392995,4.0925941852486805,1.0209,28.19,0.87
128,CLE-Heavy  (-70%KV),5.390500000127456,4.368315488212988,228.40603921395552,3.2109375,8.9167872,0.03910871578947368,100,0.4264085838000139,2.568400183758244,1.0018,39.65,1.23
256,Baseline,5.347233333244124,4.307579124576511,231.63243102901464,8.3203125,14.620483584,0.041068774112359555,100,0.15389835429370682,3.824686616657985,1.0,0.0,0.0
256,CLE-Light  (-20%KV),6.488266666565323,4.344164983164164,229.0639986060518,7.1015625,14.556585984,0.04088928647191011,100,0.5595423160566855,0.4993430612099817,0.9889,14.65,0.44
256,CLE-Medium (-50%KV),5.804999999782012,4.265680134683782,233.60969058194115,5.3203125,14.463197184,0.040626958382022474,100,0.17360552979383181,2.8592069065286783,1.0085,36.06,1.08
256,CLE-Heavy  (-70%KV),5.733333333409973,4.304570707072435,231.62403154319017,4.1015625,14.399299584,0.04044747074157303,100,0.19364618076853027,5.311490518645407,1.0,50.7,1.51
512,Baseline,8.32050000038483,4.0731404040355725,242.99671939817222,14.3203125,27.014651904,0.044141588078431375,100,0.21207694359969165,2.6692153801925205,1.0,0.0,0.0
512,CLE-Light  (-20%KV),8.52873333315074,4.194264983170521,235.9897324755296,11.90625,26.888085504,0.04393478023529412,100,0.14191054722852503,1.6427807152312823,0.9712,16.86,0.47
512,CLE-Medium (-50%KV),8.513666666961702,4.262038047134852,232.39773836823338,8.3203125,26.700079104,0.04362758023529412,100,0.3056424765117149,5.429292041260863,0.9564,41.9,1.16
512,CLE-Heavy  (-70%KV),8.333533333825471,4.3746077441052815,226.6230864720985,5.90625,26.573512704,0.04342077239215686,100,0.2567771278345389,5.2766347445790815,0.9326,58.76,1.63
1024,Baseline,15.31423333320466,4.435637037038925,220.42145197617893,26.3203125,56.634826752,0.05038685654092527,100,0.18089168938750705,10.96154514474964,1.0,0.0,0.0
1024,CLE-Light  (-20%KV),16.781266666839656,4.1138265993287515,235.82134126154446,21.515625,56.382922752,0.05016274266192171,100,0.5946019871423724,0.22980530757775128,1.0699,18.25,0.44
1024,CLE-Medium (-50%KV),16.212466666426433,4.196720202022757,231.65707019878798,14.3203125,56.005681152,0.049827118462633456,100,0.3233617378237938,1.681421503162709,1.051,45.59,1.11
1024,CLE-Heavy  (-70%KV),16.302833333005157,4.2605255892260585,228.27673422015997,9.515625,55.753777152,0.049603004583629894,100,0.15587592315385768,2.319241836817448,1.0356,63.85,1.56
